chunk,count,stop,justification
district boundary,34,y,generic geographic term
input,34,y,generic term
relationship,33,y,generic term
center,33,y,generic geographic term
attention,33,y,generic term
benefit,33,y,generic term
farmer,33,,
leader,33,y,generic term
committee,33,y,generic political term
policy,33,y,generic political term
house,32,y,generic term
economy,32,,
color,32,y,generic term
restaurant,32,,
minority,32,,
future,32,y,generic term
block,31,y,generic term
right,31,y,generic term
college,31,,
funding,31,,
thank,31,y,not interpretable
census,30,y,generic political term
focus,30,Y,generic term
chance,30,y,generic term
worker,30,,
commerce,30,,
proximity,30,,
sport,30,,
folk,30,y,not interpretable
recreation,30,,
income,29,,
attempt,29,y,generic term
concept,29,y,generic term
quality,29,y,generic term
institution,29,y,generic political term
nation,29,y,generic political term
religion,29,,
balance,28,,
division,28,,
kid,28,,
speaker,27,,
influence,27,y,generic term
nature,27,,
commissioner,27,y,generic political term
makeup,26,,
deviation,26,y,generic political term
border county,26,,
majority minority district,26,,
requirement,26,y,generic term
program,26,,
entertainment,26,,
redistricting plan,25,y,generic political term
account,25,y,generic term
identity,25,y,generic term
belief,25,y,generic term
care,25,y,generic term
demographic,25,,
state representative,25,y,generic political term
link,24,,
split,24,,
world,24,Y,generic term
desire,24,y,generic term
state house district,24,y,generic political term
growth,24,,
variety,24,,
ethnicity,24,,
question,24,y,generic term
school system,23,,
metro area,23,,
university,23,,
corner,23,,
health,23,,
solution,23,y,generic term
situation,23,y,generic term
responsibility,23,y,generic term
trail,23,,
farming community,23,,
southeast,23,y,generic term
commonality,22,y,generic term
environment,22,,
method,22,y,generic term
lifestyle,22,y,generic term
similarity,22,y,generic term
background,22,y,generic term
extent,22,y,generic term
s,22,y,not interpretable
impact,22,y,generic term
house district,22,y,generic political term
unit,22,y,generic geographic term
principle,22,y,generic term
type,22,y,generic term
manufacturing,22,,
size,21,y,generic term
street,21,,
form,21,y,generic term
amenity,21,,
equity,21,,
public,21,y,generic political term
child care,21,,
behalf,21,y,not interpretable
project,21,y,generic term
manner,21,y,generic term
starting point,21,y,generic term
incumbent,20,,
news,20,y,generic term
instance,20,y,generic term
practice,20,y,generic term
voting,20,y,generic political term
ballot,20,y,generic political term
character,20,y,generic term
legislator,20,y,generic political term
building,20,y,generic term
lack,20,y,generic term
county boundary,19,y,generic geographic term
health care,19,,
aspect,19,y,generic term
hand,19,y,not interpretable
travel,19,,
doctor,19,,
state senator,19,y,generic political term
zip code,19,y,generic geographic term
recommendation,19,y,generic term
artery,19,,
employment,19,,
definition,19,y,generic term
outcome,19,y,generic term
dining,19,,
choice,19,y,generic term
intersection,19,y,generic term
freeway,18,,
employee,18,y,generic term
neighboring county,18,,
collaboration,18,y,generic term
address,18,y,generic geographic term
edge,18,y,generic term
bias,18,y,generic term
action,18,y,generic term
legislature,18,,generic political term
ring,18,,
shore,18,,
destination,18,,
position,18,y,generic term
teacher,18,,
mapping,17,y,generic geographic term
understanding,17,y,generic term
immigrant,17,,
commitment,17,y,generic term
campus,17,,
corporation,17,,
integrity,17,,
side,17,y,generic term
facility,17,y,generic term
control,17,y,generic term
library,17,,
parent,17,,
standard,17,y,not interpretable
page,17,,
peninsula,16,,
exception,16,y,generic term
partnership,16,y,generic term
jurisdiction,16,y,generic political term
matter,16,y,generic term
state level,16,y,generic political term
legislation,16,y,generic political term
board,16,y,generic political term
course,16,y,generic term
proportion,16,y,generic term
amendment,16,y,generic political term
year,16,y,generic term
-countie,16,y,generic geographic term
network,16,,
cost,16,,
detail,16,y,generic term
broadband,16,,
base,16,y,generic term
generation,16,,
class population,16,y,not interpretable
police,16,,
success,16,y,generic term
entity,16,y,generic term
constitution,15,y,generic political term
existence,15,y,generic term
electorate,15,y,generic political term
guideline,15,y,generic political term
route,15,,
energy,15,,
mean,15,y,not interpretable
competitiveness,15,,
property,15,,
pandemic,15,,
subdivision,15,,
faith,15,,
wife,15,y,not interpretable
court,15,,
safety,15,,
site,15,y,generic term
plant,15,,
gerrymander,15,y,generic political term
prison,15,,
neighboring resident,15,,
